id,name,status,species,type,gender,origin,quantity_appeared
67,Collector,Alive,Alien,Light bulb-Alien,Male,The Menagerie,1
68,Colossus,Dead,Human,,Male,Post-Apocalyptic Earth,1
69,Commander Rick,Dead,Human,,Male,unknown,1
70,Concerto,Dead,Humanoid,,Male,unknown,1
71,Conroy,Dead,Robot,,unknown,Earth (Replacement Dimension),1
72,Cool Rick,Alive,Human,,Male,Earth (K-83),1
73,Cop Morty,Dead,Human,,Male,unknown,1
74,Cop Rick,Alive,Human,,Male,unknown,1
75,Courier Flap,Alive,Alien,,unknown,unknown,1
76,Cousin Nicky,Dead,Alien,Parasite,Male,unknown,1
77,Cowboy Morty,Alive,Human,,Male,unknown,1
78,Cowboy Rick,Alive,Human,,Male,unknown,2
79,Crab Spider,Alive,Alien,Animal,unknown,Hideout Planet,1
80,Creepy Little Girl,Alive,Human,,Female,unknown,1
81,Crocubot,Dead,Animal,Robot-Crocodile hybrid,Male,unknown,1
82,Cronenberg Rick,unknown,Cronenberg,,Male,Cronenberg Earth,2
83,Cronenberg Morty,unknown,Cronenberg,,Male,Cronenberg Earth,2
84,Cult Leader Morty,Alive,Human,,Male,unknown,1
85,Cyclops Morty,Alive,Humanoid,,Male,unknown,2
86,Cyclops Rick,Dead,Humanoid,,Male,unknown,3
87,Cynthia,Dead,Alien,Zigerion,Female,unknown,1
88,Cynthia,Alive,Human,,Female,Earth (Replacement Dimension),4
89,Dale,Dead,Mythological Creature,Giant,Male,Giant's Town,1
90,Daron Jefferson,Alive,Alien,Cone-nippled alien,Male,Unity's Planet,1
91,David Letterman,Alive,Human,,Male,Earth (C-500A),1
92,Davin,Dead,Human,,Male,Earth (C-137),2
93,Diablo Verde,Dead,Mythological Creature,Demon,Male,unknown,1
94,Diane Sanchez,Dead,Human,,Female,Earth (C-137),2
95,Dipper and Mabel Mortys,unknown,Human,,unknown,unknown,1
96,Tuberculosis,Dead,Disease,,unknown,Anatomy Park,1
97,Gonorrhea,Dead,Disease,,unknown,Anatomy Park,1
98,Hepatitis A,Dead,Disease,,unknown,Anatomy Park,1
99,Hepatitis C,Dead,Disease,,unknown,Anatomy Park,1
100,Bubonic Plague,Dead,Disease,,unknown,Anatomy Park,1
101,E. Coli,Dead,Disease,,unknown,Anatomy Park,1
102,Donna Gueterman,Dead,Robot,,Female,unknown,1
103,Doofus Rick,unknown,Human,,Male,Earth (J19ζ7),2
104,Doom-Nomitron,Dead,Alien,Shapeshifter,unknown,unknown,1
105,Dr. Glip-Glop,Dead,Alien,,Male,unknown,1
106,Dr. Schmidt,unknown,Human,Game,Male,Roy: A Life Well Lived,1
107,Dr. Wong,Alive,Human,,Female,Earth (Replacement Dimension),2
108,Dr. Xenon Bloom,Dead,Humanoid,Amoeba-Person,Male,unknown,1
109,Duck With Muscles,Dead,Alien,Parasite,Male,unknown,1
110,Eli,Alive,Human,,Male,Post-Apocalyptic Earth,1
111,Eli's Girlfriend,Alive,Human,,Female,Post-Apocalyptic Earth,1
112,Eric McMan,Alive,Human,,Male,Earth (C-137),1
113,Eric Stoltz Mask Morty,unknown,Human,,Male,Eric Stoltz Mask Earth,1
114,Ethan,unknown,Human,Cronenberg,Male,Earth (C-137),1
115,Ethan,Alive,Human,,Male,Earth (Replacement Dimension),2
116,Evil Beth Clone,Dead,Human,Clone,Female,unknown,1
117,Evil Jerry Clone,Dead,Human,Clone,Male,unknown,1
118,Evil Morty,Alive,Human,,Male,unknown,3
119,Evil Rick,Dead,Humanoid,Robot,Male,unknown,1
120,Evil Summer Clone,Dead,Human,Clone,Female,unknown,1
121,Eyehole Man,Alive,Alien,,Male,unknown,1
122,Fart,Dead,Alien,Interdimensional gaseous being,Male,unknown,1
123,Fat Morty,Alive,Human,,Male,unknown,1
124,Father Bob,Alive,Human,,Male,Earth (Replacement Dimension),2
125,Flansian,Alive,Alien,Flansian,unknown,unknown,3
126,Fleeb,unknown,Alien,,unknown,unknown,1
127,Frank Palicky,Dead,Human,,Male,Earth (C-137),1
128,Frankenstein's Monster,Dead,Alien,Parasite,Male,unknown,1
129,Fulgora,Alive,Human,,Female,unknown,3
130,Galactic Federation President,Dead,Alien,Gromflomite,Male,unknown,1
131,Gar Gloonch,Dead,Alien,Zombodian,Male,unknown,3
132,Gar's Mytholog,Dead,Mythological Creature,Mytholog,Male,Nuptia 4,1
133,Garblovian,Alive,Alien,Garblovian,Male,Glaagablaaga,3
134,Garmanarnar,Alive,Alien,,Male,unknown,1
135,Garment District Rick,Dead,Human,,Male,unknown,1
136,Gazorpazorpfield,Alive,Alien,Gazorpian,Male,Gazorpazorp,2
137,Gene,Alive,Human,,Male,Earth (Replacement Dimension),2
138,General Nathan,Dead,Human,,Male,Earth (Replacement Dimension),1
139,General Store Owner,Dead,Alien,Cat-Person,Male,Purge Planet,1
140,Genital Washer,Alive,Human,,Male,Post-Apocalyptic Earth,1
141,Ghost in a Jar,Dead,Alien,Parasite,Genderless,unknown,1
142,Gibble Snake,Dead,Alien,Animal,unknown,Resort Planet,1
143,Glasses Morty,Alive,Human,,Male,unknown,1
144,Glenn,Dead,Alien,Gromflomite,Male,unknown,1
145,Glenn,Alive,Human,Eat shiter-Person,Male,unknown,1
146,Glexo Slim Slom,Alive,Alien,,Male,unknown,1
147,Gobo,Dead,Alien,,Male,unknown,1
148,Goddess Beth,unknown,Mythological Creature,Goddess,Female,Nuptia 4,1
149,Gordon Lunas,Dead,Human,,Male,unknown,1
150,Cornvelious Daniel,Dead,Alien,Gromflomite,Male,unknown,1
151,Gwendolyn,unknown,Robot,Gazorpian reproduction robot,Female,Gazorpazorp,1
152,Hammerhead Morty,unknown,Humanoid,Hammerhead-Person,Male,unknown,2
153,Hamster In Butt,Alive,Animal,,unknown,Hamster in Butt World,2
154,Hamurai,Dead,Alien,Parasite,Male,unknown,1
155,Harold,Alive,Cronenberg,,Male,Earth (C-137),1
156,Hemorrhage,Alive,Human,,Male,Post-Apocalyptic Earth,1
157,Hole in the Wall Where the Men Can See it All,unknown,unknown,Hole,Genderless,unknown,1
158,Hookah Alien,Alive,Alien,Tuskfish,unknown,unknown,1
159,Hunter,Dead,Human,Clone,Male,Earth (Giant Telepathic Spiders Dimension),1
160,Hunter's Father,Alive,Human,,Male,Earth (Giant Telepathic Spiders Dimension),1
161,Hydrogen-F,Alive,Alien,Alphabetrian,Female,Alphabetrium,1
162,Ice-T,Alive,Alien,Alphabetrian,Male,Alphabetrium,1
163,Ideal Jerry,Dead,Mythological Creature,Mytholog,Male,Nuptia 4,1
164,Insurance Rick,unknown,Human,,Male,unknown,1
165,Investigator Rick,Dead,Human,,Male,unknown,1
166,Invisi-trooper,Alive,Human,,Male,Earth (Replacement Dimension),1
167,Izzy,Alive,Animal,Cat,unknown,Earth (Replacement Dimension),1
168,Jackie,Alive,Alien,Gazorpian,Female,Gazorpazorp,1
169,Jacob,Alive,Human,,Male,Earth (C-137),2
170,Jacqueline,Alive,Human,,Female,Earth (Replacement Dimension),1
171,Jaguar,Alive,Human,,Male,Earth (Replacement Dimension),1
172,Jamey,Alive,Human,,Male,Earth (Replacement Dimension),1
173,Jan-Michael Vincent,Alive,Human,,Male,unknown,1
174,Jerry 5-126,Alive,Human,,Male,Earth (5-126),1
175,Jerry Smith,Alive,Human,,Male,Earth (C-137),7
176,Celebrity Jerry,Alive,Human,,Male,Earth (C-500A),1
177,Jerry Smith,Alive,Human,,Male,Earth (Evil Rick's Target Dimension),1
178,Jerry's Mytholog,Dead,Mythological Creature,Mytholog,Male,Nuptia 4,1
179,Jessica,Alive,Cronenberg,,Female,Earth (C-137),3
180,Jessica,Alive,Human,Time God,Female,Earth (Replacement Dimension),12
181,Jessica's Friend,Alive,Human,,Female,Earth (C-137),8
182,Jim,Alive,Human,,Male,Earth (Replacement Dimension),1
183,Johnny Depp,Alive,Human,,Male,Earth (C-500A),1
184,Jon,Alive,Alien,Gazorpian,Male,Gazorpazorp,1
185,Joseph Eli Lipkip,Alive,Human,,Male,Earth (Replacement Dimension),1
186,Joyce Smith,Alive,Human,,Female,Earth (C-137),1
187,Juggling Rick,unknown,Human,,Male,unknown,1
188,Karen Entity,Alive,Alien,Unknown-nippled alien,Female,Unity's Planet,1
189,Katarina,Dead,Human,,Female,Earth (Replacement Dimension),1
190,Keara,Alive,Alien,Krootabulan,Female,Krootabulon,1
191,Kevin,Dead,Alien,Zigerion,Male,unknown,1
192,King Flippy Nips,Alive,Alien,Plutonian,Male,Pluto,1
193,King Jellybean,Dead,Mythological Creature,Jellybean,Male,Fantasy World,1
194,Kozbian,Alive,Alien,Tentacle alien,unknown,unknown,1
195,Kristen Stewart,Alive,Human,,Female,Earth (C-500A),1
196,Krombopulos Michael,Dead,Alien,Gromflomite,Male,unknown,1
197,Kyle,Dead,Humanoid,Miniverse inhabitant,Male,Zeep Xanflorp's Miniverse,1
198,Lady Katana,Dead,Humanoid,Cyborg,Female,unknown,1
199,Larva Alien,Alive,Alien,Larva alien,unknown,Larva Alien's Planet,3
200,Lawyer Morty,unknown,Human,,Male,unknown,1
201,Leonard Smith,Alive,Human,,Male,Earth (C-137),1
202,Lighthouse Keeper,Dead,Alien,Cat-Person,Male,Purge Planet,1
203,Lil B,Dead,Alien,Snail alien,Male,unknown,2
204,Lisa,Dead,Alien,,Female,unknown,1
205,Little Dipper,Alive,Humanoid,Tinymouth,Male,unknown,1
206,Lizard Morty,Alive,Humanoid,Lizard-Person,Male,unknown,1
207,Loggins,Alive,Alien,Alligator-Person,Male,unknown,3
208,Logic,Alive,Human,,Male,unknown,1
209,Long Sleeved Morty,unknown,Human,,Male,unknown,1
210,Lucy,Dead,Human,,Female,Earth (Replacement Dimension),1
211,Ma-Sha,Alive,Alien,Gazorpian,Female,Gazorpazorp,1
212,Magma-Q,Dead,Alien,Alphabetrian,Male,Alphabetrium,1
213,Magnesium-J,Alive,Alien,Alphabetrian,Male,Alphabetrium,1
214,Man Painted Silver Who Makes Robot Noises,Alive,Human,,Male,unknown,1
215,Maximums Rickimus,Dead,Human,,Male,unknown,3
216,MC Haps,Alive,Human,,Male,Earth (C-137),3
217,Mechanical Morty,Dead,Robot,,Male,Earth (Replacement Dimension),1
218,Mechanical Rick,unknown,Robot,,Male,Earth (Replacement Dimension),1
219,Mechanical Summer,unknown,Robot,,Female,Earth (Replacement Dimension),1
220,Mega Fruit Farmer Rick,Alive,Human,,Male,unknown,1
221,Melissa,Alive,Mythological Creature,Monster,Female,Mr. Goldenfold's dream,1
222,Michael Denny and the Denny Singers,Alive,Human,,Male,unknown,1
223,Michael Jenkins,Dead,Human,,Male,unknown,1
224,Michael McLick,Alive,Human,,Male,unknown,1
225,Michael Thompson,Alive,Humanoid,Conjoined twin,Male,unknown,1
226,Million Ants,Dead,Animal,Sentient ant colony,Male,unknown,1
227,Mitch,Alive,Human,,Male,Earth (Replacement Dimension),1
228,Mohawk Guy,Dead,Human,,Male,Post-Apocalyptic Earth,1
229,Morty Mart Manager Morty,Alive,Human,,Male,unknown,1
230,Morty Jr.,Alive,Humanoid,Human Gazorpian,Male,Earth (Replacement Dimension),1
231,Morty Rick,unknown,Human,,Male,unknown,1
232,Morty Smith,Alive,Human,,Male,Earth (Evil Rick's Target Dimension),1
233,Morty K-22,Alive,Human,,Male,Earth (K-22),1
234,Morty Smith,Dead,Human,,Male,Earth (Replacement Dimension),1
235,Mortytown Loco,Dead,Human,,Male,unknown,1
236,Mr. Beauregard,Dead,Alien,Parasite,Male,unknown,1
237,Mr. Benson,Alive,Human,,Male,Earth (Replacement Dimension),1
238,Mr. Booby Buyer,Alive,Mythological Creature,Boobie buyer reptilian,Male,Fantasy World,1
239,Mr. Goldenfold,Alive,Cronenberg,,Male,Earth (C-137),4
240,Mr. Goldenfold,Alive,Human,,Male,Earth (Replacement Dimension),10
241,Mr. Marklovitz,Alive,Human,,Male,Earth (C-137),2
242,Mr. Meeseeks,unknown,Humanoid,Meeseeks,Male,Mr. Meeseeks Box,5
243,Mr. Needful,Alive,Humanoid,The Devil,Male,unknown,1
244,Mr. Poopybutthole,Alive,Poopybutthole,,Male,unknown,7
245,Mrs. Lipkip,Alive,Human,,Female,Earth (Replacement Dimension),1
246,Mrs. Pancakes,Alive,Human,,Female,Earth (C-137),2
247,Amy Poopybutthole,Alive,Poopybutthole,,Female,unknown,1
248,Mrs. Refrigerator,Dead,Alien,Parasite,Female,unknown,1
249,Mrs. Sanchez,unknown,Human,,Female,unknown,4
250,Mrs. Sullivan,Dead,Human,Cat controlled dead lady,Female,Earth (C-500A),1
251,Nancy,Alive,Human,,Female,Earth (Replacement Dimension),6
252,Noob-Noob,Alive,Poopybutthole,,Male,unknown,1
253,Numbericon,unknown,Alien,Numbericon,unknown,unknown,1
254,Octopus Man,Alive,Humanoid,Octopus-Person,Male,unknown,1
255,Orthodox Jew,Alive,Human,,Male,Earth (Replacement Dimension),1
256,Pat Gueterman,Dead,Robot,,Male,unknown,1
257,Paul Fleishman,Alive,Human,,Male,unknown,1
258,Pawnshop Clerk,Alive,Alien,,Male,unknown,1
259,Pencilvester,Dead,Alien,Parasite,Male,unknown,1
260,Phillip Jacobs,Alive,Human,,Male,unknown,1
261,Photography Cyborg,unknown,Robot,,Male,unknown,1
262,Photography Raptor,Dead,Alien,Parasite,unknown,unknown,1
263,Pibbles Bodyguard,Alive,Alien,Hairy alien,Male,unknown,1
264,Pichael Thompson,Alive,Humanoid,Conjoined twin,Male,unknown,1
265,Pickle Rick,Alive,unknown,Pickle,Male,Earth (C-137),1
266,Piece of Toast,Alive,unknown,Bread,Genderless,unknown,2
267,Plumber Rick,Alive,Human,,Male,unknown,1
268,Poncho,Dead,Human,,Male,unknown,1
269,Presidentress of The Mega Gargantuans,Alive,Humanoid,Mega Gargantuan,Female,Mega Gargantuan Kingdom,1
270,Prince Nebulon,Dead,Alien,Zigerion,Male,unknown,1
271,Principal Vagina,Alive,Cronenberg,,Male,Earth (C-137),3
272,Principal Vagina,Alive,Human,,Male,Earth (Replacement Dimension),6
273,Purge Planet Ruler,Dead,Alien,Cat-Person,Male,Purge Planet,1
274,Quantum Rick,unknown,Human,,Male,unknown,3
275,Randy Dicknose,Alive,Human,,Male,unknown,1
276,Rat Boss,Dead,Animal,Rat,unknown,Earth (Replacement Dimension),1
277,Real Fake Doors Salesman,Alive,Human,,Male,unknown,1
278,Regional Manager Rick,Dead,Human,,Male,unknown,1
279,Regular Legs,Alive,Human,,Male,unknown,1
280,Reverse Giraffe,Dead,Alien,Parasite,Male,unknown,1
281,Reverse Rick Outrage,Dead,Human,,Male,unknown,1
282,Revolio Clockberg Jr.,unknown,Alien,Gear-Person,Male,Gear World,3
283,Rick D. Sanchez III,Dead,Human,,Male,unknown,1
284,Rick Guilt Rick,unknown,Human,,Male,unknown,1
285,Rick Prime,Dead,Human,,Male,unknown,2
286,Rick D-99,Dead,Human,,Male,Earth (D-99),1
287,Rick D716,Dead,Human,,Male,Earth (D716),1
288,Rick D716-B,Alive,Human,,Male,Earth (D716-B),1
289,Rick D716-C,Alive,Human,,Male,Earth (D716-C),1
290,Rick Sanchez,Dead,Human,,Male,Earth (Evil Rick's Target Dimension),1
291,Rick J-22,Alive,Human,,Male,Earth (J-22),1
292,Rick K-22,Alive,Human,,Male,Earth (K-22),1
293,Rick Sanchez,Dead,Human,,Male,Earth (Replacement Dimension),1
294,Ricktiminus Sancheziminius,Dead,Human,,Male,unknown,3
295,Riq IV,Dead,Human,,Male,unknown,3
296,Risotto Groupon,Dead,Alien,Blue ape alien,Male,Resort Planet,1
297,Risotto's Tentacled Henchman,Dead,Alien,Tentacle alien,Male,Resort Planet,1
298,Robot Morty,unknown,Robot,,Male,unknown,1
299,Robot Rick,unknown,Robot,,Male,unknown,1
300,Roger,Dead,Human,,Male,Earth (C-137),1
301,Ron Benson,Alive,Alien,Ring-nippled alien,Male,Unity's Planet,1
302,Ruben,Dead,Human,,Male,Earth (C-137),1
303,Samantha,Alive,Human,,Female,Earth (C-137),1
304,Scary Brandon,Alive,Mythological Creature,Monster,Male,Mr. Goldenfold's dream,1
305,Scary Glenn,Alive,Mythological Creature,Monster,Male,Mr. Goldenfold's dream,1
306,Scary Terry,Alive,Mythological Creature,Monster,Male,Mr. Goldenfold's dream,1
307,Scroopy Noopers,Alive,Alien,Plutonian,Male,Pluto,1
308,Scropon,unknown,Alien,Lobster-Alien,Male,unknown,2
309,Scrotian,Alive,Animal,Scrotian,Male,unknown,4
310,Self-Congratulatory Jerry,unknown,Mythological Creature,Mytholog,Male,Nuptia 4,1
311,Shimshamian,Alive,Alien,Shimshamian,Male,unknown,3
312,Shlaammi,Alive,Alien,,unknown,unknown,1
313,Shleemypants,Alive,unknown,Omniscient being,Male,unknown,2
314,Shmlamantha Shmlicelli,Alive,Human,,Female,unknown,1
315,Shmlangela Shmlobinson-Shmlower,Alive,Human,,Female,unknown,1
316,Shmlona Shmlobinson,Alive,Human,,Female,unknown,1
317,Shmlonathan Shmlower,Alive,Human,,Male,unknown,1
318,Shmlony Shmlicelli,Alive,Human,,Male,unknown,1
319,Shmooglite Runner,unknown,Alien,Animal,Male,Resort Planet,1
320,Shnoopy Bloopers,unknown,Alien,,Male,unknown,1
321,Shrimply Pibbles,Alive,Alien,,Male,unknown,1
322,Simple Rick,Dead,Human,,Male,unknown,1
323,Slaveowner,Dead,Human,,Male,Post-Apocalyptic Earth,1
324,Sleepy Gary,Dead,Alien,Parasite,Male,unknown,1
325,Slick Morty,Dead,Human,,Male,unknown,1
326,Slippery Stair,Alive,Mythological Creature,Slug,Male,Fantasy World,2
327,Slow Mobius,Alive,Humanoid,,Male,unknown,1
328,Slow Rick,Alive,Human,,Male,unknown,1
329,Snuffles (Snowball),Alive,Animal,Dog,Male,Earth (C-137),8
330,Solicitor Rick,unknown,Human,,Male,unknown,2
331,Squanchy,unknown,Alien,Cat-Person,Male,Planet Squanch,3
332,Stacy,Alive,Human,,Female,Earth (Replacement Dimension),1
333,Stair Goblin,Alive,Mythological Creature,Stair goblin,Genderless,unknown,3
334,Stealy,Alive,Poopybutthole,,Male,unknown,1
335,Steve,Alive,Human,,Male,Earth (Replacement Dimension),1
336,Steven Phillips,Alive,Alien,Unknown-nippled alien,Male,Unity's Planet,1
337,Stu,Dead,Alien,Zigerion,Male,unknown,1
338,Summer Smith,Alive,Human,,Female,Earth (C-137),7
339,Summer Smith,Alive,Human,,Female,Earth (Evil Rick's Target Dimension),1
340,Supernova,Alive,Human,Superhuman,Female,unknown,1
341,Taddy Mason,Alive,Human,,Male,Earth (Replacement Dimension),1
342,Taint Washer,Alive,Human,,Male,Post-Apocalyptic Earth,1
343,Tammy Guetermann,Alive,Cronenberg,,Female,Earth (C-137),2
344,Tammy Guetermann,Dead,Human,,Female,Earth (Replacement Dimension),5
345,Teacher Rick,Alive,Human,,Male,unknown,1
346,Terry,unknown,Human,,Male,Earth (Replacement Dimension),1
347,President Curtis,Alive,Human,,Male,Earth (Replacement Dimension),5
348,The President of the Miniverse,Dead,Humanoid,Miniverse inhabitant,Male,Zeep Xanflorp's Miniverse,1
349,The Scientist Formerly Known as Rick,Dead,Human,,Male,unknown,1
350,Thomas Lipkip,unknown,Human,,Male,Earth (Replacement Dimension),1
351,Three Unknown Things,Alive,Alien,,unknown,unknown,1
352,Tinkles,Dead,Alien,Parasite,Female,unknown,1
353,Tiny Rick,Dead,Human,Clone,Male,Earth (Replacement Dimension),1
354,Toby Matthews,Alive,Human,,Male,Earth (Replacement Dimension),1
355,Todd Crystal,Alive,Alien,Unknown-nippled alien,Male,Unity's Planet,1
356,Tom Randolph,Alive,Human,,Male,Earth (C-137),1
357,Tommy's Clone,Alive,Human,Clone,Male,Earth (Replacement Dimension),1
358,Tophat Jones,Dead,Mythological Creature,Leprechaun,Male,unknown,3
359,Tortured Morty,unknown,Human,,Male,unknown,1
360,Toxic Morty,Dead,Humanoid,Morty's toxic side,Male,Detoxifier,1
361,Toxic Rick,Dead,Humanoid,Rick's toxic side,Male,Detoxifier,1
362,Traflorkian,Alive,Alien,Traflorkian,unknown,unknown,5
363,Trandor,Alive,Alien,Krootabulan,Male,Krootabulon,1
364,Tree Person,Dead,Humanoid,Teenyverse inhabitant,unknown,Kyle's Teenyverse,1
365,Tricia Lange,Alive,Human,,Female,Earth (Replacement Dimension),5
366,Trunk Morty,Alive,Humanoid,Trunk-Person,Male,Trunk World,1
367,Trunk Man,Alive,Humanoid,Trunk-Person,Male,Trunk World,2
368,Truth Tortoise,unknown,Mythological Creature,Omniscient being,Male,unknown,1
369,Tusked Assassin,unknown,Alien,Tuskfish,Male,Resort Planet,1
370,Two Guys with Handlebar Mustaches,Alive,Human,,Male,unknown,1
371,Tumblorkian,Alive,Alien,Tumblorkian,Male,Plopstar,1
372,Unity,Alive,Alien,Hivemind,Genderless,unknown,1
373,Unmuscular Michael,Alive,Human,,Male,unknown,1
374,Vampire Master,Alive,Mythological Creature,Vampire,Male,Earth (Replacement Dimension),1
375,Vance Maximus,Dead,Human,,Male,unknown,1
376,Veronica Ann Bennet,Alive,Alien,Gazorpian,Female,Gazorpazorp,1
377,Voltematron,Dead,Alien,Parasite,unknown,unknown,1
378,Wall Crawling Rick,unknown,Humanoid,Lizard-Person,Male,unknown,1
379,Wedding Bartender,unknown,Alien,,Male,unknown,1
380,Unknown Rick,unknown,Human,,Male,unknown,2
381,Woman Rick,Alive,Alien,Chair,Female,unknown,1
382,Worldender,Dead,Alien,,Male,unknown,1
383,Yaarb,Alive,Alien,,Male,unknown,1
384,Yellow Headed Doctor,Alive,Alien,,Male,unknown,1
385,Yellow Shirt Rick,unknown,Human,,Male,unknown,1
386,Zarbadar Gloonch,Dead,Alien,Drumbloxian,Female,unknown,2
387,Zarbadar's Mytholog,unknown,Mythological Creature,Mytholog,Female,Nuptia 4,1
388,Zeep Xanflorp,Alive,Humanoid,Microverse inhabitant,Male,Rick's Battery Microverse,1
389,Zeta Alpha Rick,Dead,Human,,Male,unknown,4
390,Zick Zack,Dead,Alien,Floop Floopian,Male,unknown,1
391,Uncle Steve,Dead,Alien,Parasite,Male,unknown,1
392,Bearded Morty,Alive,Human,,Male,unknown,2
393,Roy,Alive,Human,Game,Male,Roy: A Life Well Lived,1
394,Davin,Dead,Cronenberg,,Male,Earth (C-137),2
395,Greebybobe,Alive,Alien,Greebybobe,unknown,Girvonesk,4
396,Scary Teacher,Alive,Mythological Creature,Monster,Male,Mr. Goldenfold's dream,1
397,Fido,Alive,Animal,Dog,Male,Snuffles' Dream,1
398,Accountant dog,Alive,Animal,Dog,Male,Snuffles' Dream,1
399,Tiny-persons advocacy group lawyer,Alive,Mythological Creature,Giant,Male,Giant's Town,1
400,Giant Judge,Alive,Mythological Creature,Giant,Male,Giant's Town,1
401,Morty Jr's interviewer,Alive,Human,,Male,Earth (Replacement Dimension),1
402,Guy from The Bachelor,Alive,Human,,Male,Earth (Replacement Dimension),1
403,Corn detective,Dead,Humanoid,Corn-person,Male,Interdimensional Cable,1
404,Michael Jackson,Alive,Humanoid,Phone-Person,Male,Earth (Phone Dimension),1
405,Trunkphobic suspenders guy,Alive,Human,,Male,unknown,4
406,Spiderweb teddy bear,Alive,Animal,Teddy Bear,unknown,Interdimensional Cable,1
407,Regular Tyrion Lannister,Alive,Human,,Male,Interdimensional Cable,1
408,Quick Mystery Presenter,Alive,Human,,Male,Interdimensional Cable,1
